date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:08	178/178	---M--	200	added ('OK')	text/plain	etag:%2210e82e7e-b2-5272fd6a%22	http://web.mit.edu/robots.txt		(from )
13:44:09	28287/28287	---M-Z	200	added ('OK')	text/html	etag:%2269819a76-6e7f-5a7f589b%22	http://web.mit.edu/6.813/www/sp18/classes/01-usability/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/01-usability/index.html	(from )
13:44:09	45017/45017	---M-Z	200	added ('OK')	text/html	etag:%22698199d6-afd9-5a7f589e%22	http://web.mit.edu/6.813/www/sp18/classes/02-learnability/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/02-learnability/index.html	(from )
13:44:09	36030/36030	---M-Z	200	added ('OK')	text/html	etag:%2269819a84-8cbe-5a7f57dd%22	http://web.mit.edu/6.813/www/sp18/classes/03-efficiency/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/03-efficiency/index.html	(from )
13:44:09	10303/10303	---M-Z	200	added ('OK')	text/css	etag:%2269818f0e-283f-5ac47fa1%22	http://web.mit.edu/6.813/www/sp18/web/handout-style.css	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/web/handout-style.css	(from http://web.mit.edu/6.813/www/sp18/classes/01-usability/)
13:44:10	42843/42843	---M-Z	200	added ('OK')	text/html	etag:%226981a0fa-a75b-5a9642da%22	http://web.mit.edu/6.813/www/sp18/classes/05-ui-sw-arch/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/05-ui-sw-arch/index.html	(from )
13:44:10	63874/63874	---M-Z	200	added ('OK')	text/html	etag:%2269819b62-f982-5a813bdd%22	http://web.mit.edu/6.813/www/sp18/classes/04-safety/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/04-safety/index.html	(from )
13:44:11	40399/40399	---M-Z	200	added ('OK')	text/html	etag:%2269819d8a-9dcf-5a89a2a0%22	http://web.mit.edu/6.813/www/sp18/classes/06-user-centered-design/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/06-user-centered-design/index.html	(from )
13:44:11	78612/78612	---M-Z	200	added ('OK')	text/html	etag:%2269819e60-13314-5a8b69ac%22	http://web.mit.edu/6.813/www/sp18/classes/07-output/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/07-output/index.html	(from )
13:44:12	58412/58412	---M-Z	200	added ('OK')	text/html	etag:%226981aeb6-e42c-5acac92c%22	http://web.mit.edu/6.813/www/sp18/classes/09-more-learnability/	C:/Users/taiwoo/Documents/uidesign_textbook/web.mit.edu/6.813/www/sp18/classes/09-more-learnability/index.html	(from )
